Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2002,Unnamed: 7,Unnamed: 8,Unnamed: 9,2003,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,2004,Unnamed: 17,2005,Unnamed: 19,Unnamed: 20,Unnamed: 22
ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),Türkiye,Akciğer ve Bronş,252.215,1348,69302000, KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),İNSİDANS (100.000'de),KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),70231000,OLGU SAYISI,"İNSİDANS
 (100.000'de )",112.06,71150000,İNSİDANS (100.000'de ),İNSİDANS (100.000'de ),72065000,345.72,"İNSİDANS
 (100.000'de )",346.2247757569723
ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),8 il,Akciğer ve Bronş,252.215,1348,13660528, KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),İNSİDANS (100.000'de),KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),13865920,OLGU SAYISI,"İNSİDANS
 (100.000'de )",112.06,14070234,İNSİDANS (100.000'de ),İNSİDANS (100.000'de ),14273465,345.72,"İNSİDANS
 (100.000'de )",346.2247757569723
ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),Yüzde %,Akciğer ve Bronş,252.215,1348,"% 19,71", KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),İNSİDANS (100.000'de),KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),"% 19,74",OLGU SAYISI,"İNSİDANS
 (100.000'de )",112.06,"%19,77",İNSİDANS (100.000'de ),İNSİDANS (100.000'de ),"%19,81",345.72,"İNSİDANS
 (100.000'de )",346.2247757569723
ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),* 2002-2003-2004-2005  yıllarına ait nüfus verileri  Türkiye İstatistik Kurumu tahminleridir.,Akciğer ve Bronş,252.215,1348,2002, KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),İNSİDANS (100.000'de),KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),OLGU SAYISI,OLGU SAYISI,"İNSİDANS
 (100.000'de )",112.06,2004,İNSİDANS (100.000'de ),İNSİDANS (100.000'de ),2005,345.72,"İNSİDANS
 (100.000'de )",346.2247757569723
ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),Akciğer ve Bronş,Akciğer ve Bronş,252.215,1348,2002, KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),İNSİDANS (100.000'de),KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),OLGU SAYISI,OLGU SAYISI,"İNSİDANS
 (100.000'de )",8 İLİN İNSİDANS KARŞILAŞTIRMASI ( 1999- 2005 ),2004,İNSİDANS (100.000'de ),İNSİDANS (100.000'de ),2005,345.72,"İNSİDANS
 (100.000'de )",346.2247757569723
ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),Akciğer ve Bronş,Akciğer ve Bronş,1999.0,1348,2002,2000,İNSİDANS (100.000'de),KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),2001,OLGU SAYISI,"İNSİDANS
 (100.000'de )",2002,2004,2003,İNSİDANS (100.000'de ),2005,2004.0,"İNSİDANS
 (100.000'de )",2005.0
ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),ANKARA,Akciğer ve Bronş,63.65,1348,2002,87.85,İNSİDANS (100.000'de),KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),86.6,OLGU SAYISI,"İNSİDANS
 (100.000'de )",117.66,2004,134.06,İNSİDANS (100.000'de ),2005,138.43,"İNSİDANS
 (100.000'de )",134.72504082735512
ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),ANTALYA,Akciğer ve Bronş,123.09,1348,2002,83.27,İNSİDANS (100.000'de),KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),126.01,OLGU SAYISI,"İNSİDANS
 (100.000'de )",135.01,2004,135.11,İNSİDANS (100.000'de ),2005,149.66,"İNSİDANS
 (100.000'de )",157.41752619603523
ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),EDİRNE,Akciğer ve Bronş,56.16,1348,2002,38.75,İNSİDANS (100.000'de),KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),98.86,OLGU SAYISI,"İNSİDANS
 (100.000'de )",112.06,2004,74.41,İNSİDANS (100.000'de ),2005,182.73,"İNSİDANS
 (100.000'de )",194.39445534235824
ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),ERZURUM,Akciğer ve Bronş,65.43,1348,2002,40.11,İNSİDANS (100.000'de),KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),58.14,OLGU SAYISI,"İNSİDANS
 (100.000'de )",80.4,2004,52.2,İNSİDANS (100.000'de ),2005,68.9,"İNSİDANS
 (100.000'de )",74.6116532913236
ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),ESKİŞEHİR,Akciğer ve Bronş,35.98,1348,2002,67.14,İNSİDANS (100.000'de),KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),37.82,OLGU SAYISI,"İNSİDANS
 (100.000'de )",148.77,2004,145.37,İNSİDANS (100.000'de ),2005,211.47,"İNSİDANS
 (100.000'de )",125.72025705688591
ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),İZMİR,Akciğer ve Bronş,39.69,1348,2002,116.77,İNSİDANS (100.000'de),KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),151.89,OLGU SAYISI,"İNSİDANS
 (100.000'de )",193.03,2004,210.76,İNSİDANS (100.000'de ),2005,238.71,"İNSİDANS
 (100.000'de )",267.4443051579511
ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),SAMSUN,Akciğer ve Bronş,45.04,1348,2002,52.85,İNSİDANS (100.000'de),KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),23.9,OLGU SAYISI,"İNSİDANS
 (100.000'de )",131.34,2004,160.91,İNSİDANS (100.000'de ),2005,184.48,"İNSİDANS
 (100.000'de )",183.64771986601863
ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),TRABZON,Akciğer ve Bronş,35.98,1348,2002,28.71,İNSİDANS (100.000'de),KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),54.15,OLGU SAYISI,"İNSİDANS
 (100.000'de )",43.7,2004,122.33,İNSİDANS (100.000'de ),2005,111.1,"İNSİDANS
 (100.000'de )",145.4327334113472
ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),8 İL İNSİDANS ,Akciğer ve Bronş,58.13,1348,2002,64.43,İNSİDANS (100.000'de),KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),79.67,OLGU SAYISI,"İNSİDANS
 (100.000'de )",131.18,2004,148.48,İNSİDANS (100.000'de ),2005,167.72,"İNSİDANS
 (100.000'de )",173.85406642044768
ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),Akciğer ve Bronş,Akciğer ve Bronş,252.215,1348,2002, KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ (2005),İNSİDANS (100.000'de),İLLERİN CİNSİYETE GÖRE DAĞILIMI (2005),OLGU SAYISI,OLGU SAYISI,"İNSİDANS
 (100.000'de )",112.06,2004,İNSİDANS (100.000'de ),İNSİDANS (100.000'de ),2005,345.72,"İNSİDANS
 (100.000'de )",346.2247757569723
